Name,Task,Image,Time,Stage,Purpose,When,Why,Note,Output,Next
"
                      Navigation map                    ","
1. Represent each page or location of the design (website, app, route, etc) as a box. Connect the boxes to display how they connect to each other.
2. Go through the design and check if the ow of the different tasks is correct. Evaluate if the way the design works is logical for the users.
3. If needed, move the boxes around, delete some, add extra steps, etc. Once that is done go over the design again and check if it is logical.
4. Document the version(s) that you think work best for the users and the intended design.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-14-wpcf_120x120.png,2 HOURS - 4 HOURS,prototype-test,create,"After identifying what steps the design needs, but when it is still in conceptual phase.",It allows to check the ow of the design and to make sure it is clear for users.,"Structure boxes in a logical way, that gives you insight rather than confusion.",An understanding on how many pages there are and the most logical flows.,"Take the concept and polish it, make a mid-high fidelity prototype."
"
                      Nine dimensions                    ","
1. Gather all the information that has been collected so far, and use all insights to do the following steps.
A. Write down what’s the physical space of the eld of research.
B. Write down who the actors are.
C. Write down all the activities performed by the actors.
D. Write down the objects that are relevant and present, or used by the actors.
E. Write down the specific individual actions carried out by the actors.
F. Write down particular occasions that surface from the research.
G. Write down the sequence of events.
H. Write down what the actors’ goals are, what are they trying to accomplish?
I. Write down how the actors feel in given contexts.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-28-wpcf_120x120.png,4 HOURS - 1 DAY,frame-insights,create,At any moment when ethnographic research is required.,To make sure that the research is structured and considers all aspects.,Try to list all the possible answers as completely as possible.,A comprehensive understanding of the research problem and everything that affects it.,Conduct the research making sure the insights gathered are not overlooked.
"
                      Paper prototyping                    ","
1. Determine the aspects that will be tested. (content, form, structure, ‘tone’, key functionality, etc.).
2. Develop a paper version of the concept that allows to test the different aspects.
3. Recruit participants for the test.
4. Conduct the test, do not guide users too much and validate the concept.
5. Take notes of what works and what needs to be changed.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-05-wpcf_120x120.png,2 HOURS - 4 HOURS,prototype-test,create,In the initial stages of a concept.,Quickly validate functions of a design with a low cost.,"Paper prototyping does not have to validate aesthetics, it should focus on functionalities.",Test results of the concept that can be revised and improved on to develop further.,"Identify what worked and what didn’t.
Refine the concept based on the insights."
"
                      People Planet Profit                    ","
1. Print out the People Planet Profit template.
2. Write down a short description of your idea.
3. Describe how your idea facilitates well being for all the different stakeholders. Rate your idea on the right hand column based on the concepts described there.
4. Describe how your concept aims to benefit the natural order or at least minimize as much as possible any negative impact on the environment. Rate your idea on the right hand column based on the concepts described there.
5. Describe how your concept takes into account the real economic impact it will have on its economic environment. Rate your idea on the right hand column based on the concepts described there.
6. Analyze your results and consider if you can improve your idea on any of the criteria. Compare this idea to others to see which one works better.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2018/03/DMT_icons-58-wpcf_120x120.png,1 HOUR - 2 HOURS,prototype-test,research,After having a few feasible ideas that could be developed further.,Helps to identify the sustainable and societal impact the ideas can have.,Make sure to think about the impact for all stakeholders and be aware that there might be some aspects that might not have been taken into account.,Ideas and concepts that are rated based on their impact.,Pick the best ideas and develop them further.
"
                      Persona                    ","
1. Collect user data through interviews, observations, ethnography and other methods.
2. Within the team go through the data and identify key aspects by clustering information into groups. Pick meaningful quotes that give insights on the users.
3. Use the information clusters to make personas, make sure that the diversity of interest is included in the personas that are created.
4. Give life goals to the personas, personal aspirations, pain points and possible behaviours.
5. Name the personas and include a ‘personal’ picture conveying what they look like.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-09-wpcf_120x120.png,4 HOURS - 1 DAY,know-user,create,After doing research on the user and when a summary of insights is needed.,Personas allow for the team to speak about the needs of users and not about opinions on how users might behave.,"Personas are created with data from real users, avoid stereotypes.",Summary of insights on user types and represented by fictional people.,Introduce the persona to the team and use them to validate your ideas.
"
                      Photo safari                    ","
1. Define a topic for the photo safari, it should be open enough to allow interpretation from the users, but specific enough for the photos to have a theme.
2. Prepare a guide for the users, have questions regarding different topics. (Take a photo of your workplace, take a photo of what makes you happy, etc.)
3. Collect the participants’ photos and compare them, if possible invite the users to tell stories about their photos.
4. Collect insights and identify common threads.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-17-wpcf_120x120.png,1 DAY - 1 WEEK,know-user,research,When there is not enough knowledge of the user.,To understand how users view their context.,Make sure the photo safari is a fun activity and that it adapts to the user’s lifestyle (using a digital camera for the elderly might be confusing for them).,Collection of photos and insights that can be used for inspiration.,"BROBERG, Ole; ANDERSEN, Vibeke; SEIM, Rikke. Participatory ergonomics in design processes: The role of boundary objects. Applied ergonomics, 2011, 42.3: 464-472./"
"
                      Problem tree                    ","
1. Brainstorm a list of design problems and write them down.
2. Sort the list by importance or degree of abstraction.
3. Write down the main problem close to the core branch, write the sublevel problems as branches of the problems they are related to.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-24-wpcf_120x120.png,2 HOURS - 4 HOURS,define-intentions,create,At the beginning of the project.,To have an overview of the problems faced.,"It might help to write down each problem on a small piece of paper, so you can shuffle them easily.
The hierarchy could be from important to less important, or abstract to practical.","An overview of which problems are at the core of a project, and which are concrete.","Solve the problems, try to start with core problems. If this isn’t possible, go further into a sub level."
"
                      Prototype for empathy                    ","
1. Identify specific aspects of a user experience that the team might not have clarity on.
2. Do a brainstorm on how to understand the possible problems the user might face.
3. Develop a quick prototype and test it among the design team.
4. Collect all insights into a list, use those insights to refine the design idea.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-16-wpcf_120x120.png,2 HOURS - 1 DAY,know-user,create,On the first phases of the project.,To allow team members and (stakeholders) understand users.,"The prototype aims to help the design team (and stakeholders) understand user behavior, it is not a prototype built to test a design concept.",A prototype and insights to understand the user better.,Use the insights gained to develop concept(s).
"
                      Research collage                    ","
1. Define the theme of the session.
2. Recruit participants for the session (5-8).
3. Print words and images onto sticker sheets/paper.
4. Give participants the printed images, glue, markers.
5. Participants make their collages.
6. The participants explain their collages by using stories.
7. Collect the information of the session, this can be by done by video/audio recordings, or taking notes.
8. Analyze the results and identify the most meaningful insights.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-03-wpcf_120x120.png,4 HOURS - 1 DAY,know-user,research,When insights are needed from a group of users.,Get insights on how specific groups view specific topics.,"Images and words should be abstract,so that they do not influence the participants too much.",Collages and stories made by participants that help to understand their point of view on a specific topic.,Collect insights and identify ways to incorporate them into a design.
"
                      Sensorial                    ","
1. Recruit a team of participants for the session.
2. Arrange a space and materials needed for the session.
3. Select a moderator. This person frames the design challenge.
4. Make teams and distribute post-it notes.
5. Each team generates ideas for each sense: vision, scent, feeling, hearing, and tasting; 20 minutes for each sense. Take 3 minutes break after each session.
6. Organize and cluster the post-its through discussion. Each team should have 5 concepts, 1 for each sense.
7. Collect the post-its and summarize them into a document/photos.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-39-wpcf_120x120.png,2 HOURS - 4 HOURS,ideation-concept,create,To generate innovative ideas that are out of the team’s comfort zone.,"Sometimes ideas tend to focus on visual, auditory and tactile solutions, thinking of all the senses can trigger innovative solutions.",Teams have to come up with 6 to 10 ideas for each sense. Don’t worry if ideas are impractical.,"A new wave of various ideas, focussed on different senses.",Extract the most interesting ideas and take them to the next level.
"
                      Stakeholders map                    ","
1. Arrange a room where you can focus and work for a couple of hours.
2. Make a list of members of the stakeholder community and categorize them.
3. Based on the current knowledge, prioritize the stakeholders. Define key stakeholders in different aspects of the project for example, requirements, cost, aesthetics, etc.
4. Summarize your findings in a finished version of the map.
5. Make the map visible to the design team.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-41-wpcf_120x120.png,2 HOURS - 4 HOURS,define-intentions,research,At the beginning of a project to understand relationships between the different parties.,Understanding relationships is an important aspect of (service) design.,"Stakeholders aren’t only employees or companies, a family member can also be a stakeholder.",A summarized map of all the stakeholders and their relationship with each other.,Use the map to validate decisions that might affect different stakeholders.
"
                      Storyboard                    ","
1. Decide on a story/interaction/experience you want to communicate. Make the message very clear.
2. Write/draw the global storyline. Think of the steps of the story and how to communicate them in images. Make sure you convey all the important information in a simple but complete and intelligible way.
3. Start drawing a quick sketch, then start refining it (storywise).
4. To make sure that every important step is clear for the reader. Go over the drawings with someone who is unfamiliar with the story, ask feedback and add short (text) explanations where needed.
5. Present the storyboard to stakeholders. Make notes of the feedback received.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-13-wpcf_120x120.png,2 HOURS - 1 DAY,prototype-test,create,"After ideation, and when you want to see how users experience your design.",Storyboards allow to display an entire story and get feedback on specific stages of an experience.,"Not everyone is an artist, it’s alright if the sketches aren’t beautiful.
Its alright to mess up and start over.","A storyline of an event, interaction, activity or experience that can be presented.",Do a lo-fi prototype of the concept and test it.
"
                      Survey                    ","
1. Define and prepare questions to research, structure questions so that the survey has a clear flow. Already think about sections or constructs you would like to focus on in your analysis.
2. Choose between creating an online or paper survey. Online: look for a suitable platform (e.g. Google Forms) and test it before sending.
3. Distribute the surveys to all participants and collect them after filling them in. Make sure you get a valid sample size with the right amount of variety in demographics. Do not change the questionnaire after you send it.
4. Collect surveys and aggregate them, if you use software for surveys, this will be done automatically.
5. Analyse the results of the survey.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-20-wpcf_120x120.png,2 HOURS - 1 DAY,prototype-test,research,When there is a need to validate information in a quantitative way.,To get an aggregation of answers regarding a specific topic.,Make sure the questions are worded correctly and that people understand them.,Statistical information regarding the topic you are researching.,Use the findings of the survey to make decissions.
"
                      The AOKI Method                    ","
1. Assign a moderator and a group of participants. Max. 10 people.
2. Warm up: sprout ideas for 15 minutes and list them. Do this individually.
3. Each participant presents summaries of their own ideas to the rest of the group. The rest of participants keep sprouting ideas.
4. In the following hour, the moderator leads the discussion and maps out the ideas, clustering them into common topics.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-07-wpcf_120x120.png,2 HOURS - 4 HOURS,ideation-concept,create,In the initial stages of concept creation.,Quickly validate functions of a design with a low cost.,Use the individual presentations as inspiration.,Collection of ideas that have been structured into an idea map.,Select most promising ideas/clusters and proceed to design quick tests of the main concepts.
"
                      The KJ Method                    ","
1. Set up a group meeting and a room. You need at least 5 participants to generate a sufficient amount of ideas.
2. Select a moderator. This moderator frames the design challenge.
3. Participants generate many ideas and write them on post-its.
4. Collect the idea post-its, shuffle them, and hand them out. No one should get one of their own ideas.
5. Ideas are read out as the moderator transcribes them on flipchart pages. During this phase, anyone can ask for clarification of any idea brought up and recorded. Ideas are categorized in groups (post the post-its on a wall or whiteboard). No more than 10 groups!
6. Best ideas are voted up, so that each group has clear winners. Discuss the insights.
7. Individuals take ownership of ideas and take responsibility for implementing or further developing each on a deadline.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-33-wpcf_120x120.png,2 HOURS - 4 HOURS,ideation-concept,create,The method can be used throughout the complete design process.,How do you assess what is most important? This method allows to prioritize your efforts.,"Although all items may be discussed, debate or criticisms of ideas is not allowed.",A starting point for a design solution and a priority list for actions and directions.,Combine the KJ Method with practical concepting and prototyping methods to work out your ideas.
"
                      Through other eyes                    ","
1. Define your design problem clearly for the layman.
2. Select and recruit a group of outsiders who represent the end user of the product or service.
3. Organize a space to have a session and make sure you have all the materials you might need (presentation, questionnaires, etc.)
4. Set up a presentation for your design concept.
5. List down useful questions to ask your reviewers.
6. Have a moderator that presents the design concept(s), asks questions and reviews the design(s) with the outsiders.
7. Collect notes and record the session.
8. Analyze results of the session.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-35-wpcf_120x120.png,2 HOURS - 1 DAY,prototype-test,research,When design concept(s) have been selected and before working out too many details.,"This method allows to get feedback on concepts by the target audience, allowing to modify the concept if needed.",Imagine presenting the concept to a kid. It should be easily understood by anyone.,Insights on how the design concept is perceived by the target audience.,Process feedback and see on which points you can improve your design.
"
                      Venn Diagram                    ","
1. Arrange a sheet of paper (or a digital artboard) and gather all the information you have at the moment.
2. Start clustering information and arrange it in groups.
3. Organise the information by drawing a circle and placing the clustered information in the circle.
4. Repeat the previous step for each of the information clusters.
5. Some information will overlap across different clusters, make sure you place the information in the intersection between the different circles.
6. Review if all the information has been placed, some information might have to be placed in a different cluster or a cluster will have to be divided in sub-clusters.
7. Analyse the diagram and polish the way it is displayed, this could be done quickly on paper or on a graphic design computer program.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-52-wpcf_120x120.png,2 HOURS - 4 HOURS,frame-insights,create,When the information gathered needs to be analysed.,Allows to cluster information and understand commonalities across them. Can help to gather insights and quickly communicate them.,You might have to develop different versions to be able to arrange all the information.,A venn diagram that can display complex information so that it is easy to understand.,Take the insights and convert them into design criteria.
"
                      Video prototyping                    ","
1. Select a concept to prototype, Split the concept into steps that need to be shown and explained.
2. Write a script that clearly explains all the steps of the solution and how they work within the desired context.
3. Create a storyboard based on the script.
4. Organize everything that is needed to proceed for filming (actors, cameras, permits, etc.)
5. Film according to your plan and schedule.
6. Develop special graphics and/or special effects if needed.
7. Edit all the clips into a consistent story and render it.
8. Recruit and gather potential users of the design, show them the video.
9. Collect notes and feedback on the user’s reaction to the prototype.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/05/DMT_icons-48-wpcf_120x120.png,1 DAY - 2 WEEKS,prototype-test,create,When a complex idea needs to be quickly tested.,To test a promising idea that is complicated or time consuming to prototype.,Make sure that the prototype is clear and easy to follow by different users and/or stakeholders. Usually high production yields better results.,A video prototype of an idea and feedback on what works and what doesn’t.,"Consider if the idea works, if it needs to be polished or if it needs to be trashed."
"
                      ViP (Deconstruct)                    ","
1. Organize a team, and a room with materials, such as markers and flipboard sheets.
2. Deconstruct the product, think of the reasons why the product has its current form. Make a very clear description making sure you can identify the product on the description alone.
3. Deconstruct the interaction and describe it. Make sure you describe the interaction itself and not the product/user. An interaction could be warm, friendly, blobby, etc.
4. Deconstruct the context, think about the way the context has de ned the product, and categorize these into principles, states, developments and trends.
5. Make a selection and cluster the aspects you have uncovered that might affect your design, categorize them into principles, states, developments and trends.
7. Combine the elements into one (or many) coherent story(ies), these will be your context(s).



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/05/DMT_icons-52-wpcf_120x120.png,1 DAY - 1 WEEK,know-user,research,When you need to design for a future and not just a product.,As a designer you can think of a vision you want to accomplish and design for.,"In the deconstruct phase the idea is to understand a product/ service as much as possible, save ideation for the second part of the ViP Method.","A list of principles, states, developments and trends. A series of contexts that are contained in stories.",Move to ViP (Design) Method card
"
                      ViP (Design)                    ","
Continued from ViP (Deconstruct)
1. Analyze your stories. Make sure you understand how the principles, states, trends, developments and trends have shaped the product/service and how it fits in a context.
2. Write down your statement, this is what you aim to achieve with your design, for example I want people to feel happier during their daily commute.
3. Define the interactions that can promote, facilitate and enhance your statement, make and prioritize a list with them. Select the top 5 and explain why they are important.
4. Gather large sheets of paper, pencils and markers. Distribute among the participants.
5. Start sketching ideas based on your statement, and your desired interaction qualities. Keep in mind that there are many ways to achieve this, try different ways (lo- tech, high-tech, service, product, etc.)



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/05/DMT_icons-53-wpcf_120x120.png,1 DAY - 1 WEEK,ideation-concept,create,After deconstructing a product/service using the ViP (deconstruct) method card.,ViP allows to design for your vision as a designer.,"Make sure you understand the principles, states, developments and trends, before you start designing.",Ideas and sketches for a possible future.,Make a selection and develop your ideas further. Build simple prototypes of the most promising ones.
"
                      Wireframes                    ","
1. Plan out the screens for the intended design. Write them down on a list.
2. Design layouts of ways to display the different elements for each screen.
3. Go through the wireframes and check that things are clear and have a clear ow.
4. Review the proposed design and adjust where needed.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-27-wpcf_120x120.png,2 HOURS - 1 DAY,define-intentions,create,Once a rough draft of an idea has been developed and before moving to details.,To validate an initial (screen) design idea.,You can make boxes or outlines by hand drawing or using software for it. Try different layouts and review your top 3.,A preview of a proposed design.,"Make a clickable prototype of the wireframe.
Test and review the design and prototype."
"
                      Wizard of Oz                    ","
1. Select an idea/concept that will be tested. Create the necessary images, videos, animations and elements to do the test.
2. Recruit participants for the test and organize a location, make sure the prototype works. Assign a person as wizard.
3. The wizard hides from view, and observes the user’s actions while making the system react to those actions by triggering the different responses the system should give at that moment in the interaction.
4. Take notes of what works and what does not work while doing the test.
5. Ask participants about their impression of the system and the design. Take notes.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-11-wpcf_120x120.png,1 DAY - 2 DAYS,prototype-test,create,When the design has a  complex system that needs to be tested quickly.,Wizard of Oz allows to test complex systems before programming them.,"This method must be rehearsed extensively before testing it. If things don’t work as expected, the user will realize that the prototype is fake.","A test case for future prototypes, and a list of what works and what doesn’t work.",Modify the design according to the results and iterate.
"
                      Written scenario                    ","
1. Decide on the key question(s) to be analyzed.
2. Determine what is necessary to make a believable scenario, such as stakeholders, goals, and the scope of the scenario.
3. Map basic trends and driving forces that will/ can affect the future.
4. Consider key uncertainties and unknowns.
5. Determine a starting point for the scenario.
6. Produce 7-9 mini-scenarios and then reduce the number to 3.
7. In a simple language, describe the interactions and how they would behave within the proposed context.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-43-wpcf_120x120.png,4 HOURS - 1 DAY,frame-insights,create,Once some research has been done and there is a need for solutions that are set in possible future(s).,Developing scenarios for the future helps to design solutions which can be simplified to fit in the present.,"Write in simple, easy readable language and in the third person. Keep in mind that written scenarios are purely hypothetical.",Analysis of possible futures that allow to test concepts.,"Visualize the scenarios, drawing and video work very well."
"
                      WWWWWH                    ","
1. Define the problem definition and the problem statement.
2. Ask yourself the WWWWWH questions, and write down the answers on post-its
– Who is involved?
– What occurred?
– When did it happen?
– Where did it happen?
– Why did it occur?
– How did it happen?
3. Review the answers to all the questions, identify where you might need extra information and adapt the answers as needed.
4. Collect insights into a document (can be photos, a video, a mindmap or a slideshow).



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-12-wpcf_120x120.png,1 HOUR - 4 HOURS,define-intentions,research,When a problem is identified.,"Allows to reflect on the problem and understand it better, it is then easier to aim for a solution.","Your story isn’t complete if you can’t answer these questions.Some questions might spark other questions, answer them too!",Thorough understanding of the problem.,Use the answers as input to create a presentation of your story.
